row_id,price,lotsize,bedrooms,bathrms,stories,driveway,recroom,fullbase,gashw,airco,garagepl,prefarea
0,42000.0,5850,3,1,2,yes,no,yes,no,no,1,no
1,38500.0,4000,2,1,1,yes,no,no,no,no,0,no
2,49500.0,3060,3,1,1,yes,no,no,no,no,0,no
3,60500.0,6650,3,1,2,yes,yes,no,no,no,0,no
4,61000.0,6360,2,1,1,yes,no,no,no,no,0,no
5,66000.0,4160,3,1,1,yes,yes,yes,no,yes,0,no
6,66000.0,3880,3,2,2,yes,no,yes,no,no,2,no
7,69000.0,4160,3,1,3,yes,no,no,no,no,0,no
8,83800.0,4800,3,1,1,yes,yes,yes,no,no,0,no
9,88500.0,5500,3,2,4,yes,yes,no,no,yes,1,no
10,90000.0,7200,3,2,1,yes,no,yes,no,yes,3,no
11,30500.0,3000,2,1,1,no,no,no,no,no,0,no
12,27000.0,1700,3,1,2,yes,no,no,no,no,0,no
13,36000.0,2880,3,1,1,no,no,no,no,no,0,no
14,37000.0,3600,2,1,1,yes,no,no,no,no,0,no
15,37900.0,3185,2,1,1,yes,no,no,no,yes,0,no
16,40500.0,3300,3,1,2,no,no,no,no,no,1,no
17,40750.0,5200,4,1,3,yes,no,no,no,no,0,no
18,45000.0,3450,1,1,1,yes,no,no,no,no,0,no
19,45000.0,3986,2,2,1,no,yes,yes,no,no,1,no
20,48500.0,4785,3,1,2,yes,yes,yes,no,yes,1,no
21,65900.0,4510,4,2,2,yes,no,yes,no,no,0,no
22,37900.0,4000,3,1,2,yes,no,no,no,yes,0,no
23,38000.0,3934,2,1,1,yes,no,no,no,no,0,no
24,42000.0,4960,2,1,1,yes,no,no,no,no,0,no
25,42300.0,3000,2,1,2,yes,no,no,no,no,0,no
26,43500.0,3800,2,1,1,yes,no,no,no,no,0,no
27,44000.0,4960,2,1,1,yes,no,yes,no,yes,0,no
28,44500.0,3000,3,1,1,no,no,no,no,yes,0,no
29,44900.0,4500,3,1,2,yes,no,no,no,yes,0,no
30,45000.0,3500,2,1,1,no,no,yes,no,no,0,no
31,48000.0,3500,4,1,2,yes,no,no,no,yes,2,no
32,49000.0,4000,2,1,1,yes,no,no,no,no,0,no
33,51500.0,4500,2,1,1,yes,no,no,no,no,0,no
34,61000.0,6360,2,1,2,yes,no,no,no,no,0,no
35,61000.0,4500,2,1,1,yes,no,no,no,yes,2,no
36,61700.0,4032,2,1,1,yes,no,yes,no,no,0,no
37,67000.0,5170,3,1,4,yes,no,no,no,yes,0,no
38,82000.0,5400,4,2,2,yes,no,no,no,yes,2,no
39,54500.0,3150,2,2,1,no,no,yes,no,no,0,no
40,66500.0,3745,3,1,2,yes,no,yes,no,no,0,no
41,70000.0,4520,3,1,2,yes,no,yes,no,yes,0,no
42,82000.0,4640,4,1,2,yes,no,no,no,no,1,no
43,92000.0,8580,5,3,2,yes,no,no,no,no,2,no
44,38000.0,2000,2,1,2,yes,no,no,no,no,0,no
45,44000.0,2160,3,1,2,no,no,yes,no,no,0,no
46,41000.0,3040,2,1,1,no,no,no,no,no,0,no
47,43000.0,3090,3,1,2,no,no,no,no,no,0,no
48,48000.0,4960,4,1,3,no,no,no,no,no,0,no
49,54800.0,3350,3,1,2,yes,no,no,no,no,0,no
50,55000.0,5300,5,2,2,yes,no,no,no,no,0,no
51,57000.0,4100,4,1,1,no,no,yes,no,no,0,no
52,68000.0,9166,2,1,1,yes,no,yes,no,yes,2,no
53,95000.0,4040,3,1,2,yes,no,yes,yes,no,1,no
54,38000.0,3630,3,3,2,no,yes,no,no,no,0,no
55,25000.0,3620,2,1,1,yes,no,no,no,no,0,no
56,25245.0,2400,3,1,1,no,no,no,no,no,0,no
57,56000.0,7260,3,2,1,yes,yes,yes,no,no,3,no
58,35500.0,4400,3,1,2,yes,no,no,no,no,0,no
59,30000.0,2400,3,1,2,yes,no,no,no,no,0,no
60,48000.0,4120,2,1,2,yes,no,no,no,no,0,no
61,48000.0,4750,2,1,1,yes,no,no,no,no,0,no
62,52000.0,4280,2,1,1,yes,no,no,no,yes,2,no
63,54000.0,4820,3,1,2,yes,no,no,no,no,0,no
64,56000.0,5500,4,1,2,yes,yes,yes,no,no,0,no
65,60000.0,5500,3,1,2,yes,no,no,no,yes,0,no
66,60000.0,5040,3,1,2,yes,no,yes,no,yes,0,no
